Tab,Name,State,Value,Cost,Avg
3,John Smith,TX,23.2,4500,193.97
3,Henry Black,NC,11.6,4500,387.93
3,Greg Guiwargis,TN,22.67,8200,361.71
4,Frank Apples,MA,22.67,5600,247.02
4,Sarah Jameson,NV,44.2,5600,126.70
4,Sarah Jameson,NV,32,4200,131.25
4,Billy Butler,DD,51.2,3320,64.84
1,Hank Aaron,TY,32,7722,241.31
1,Cliff Kingsbury,YU,44.3,4300,97.07
1,Billy Butler,DD,44.2,3453,78.12
3,Hank Aaron,TY,23.5,7722,328.60
3,Cliff Kingsbury,YU,23.5,4300,182.98
3,Billy Butler,DD,4.2,7800,1857.14
5,Hank Aaron,TY,32,7722,241.31
5,Cliff Kingsbury,YU,51.2,4300,83.98
5,Billy Butler,DD,32,7800,243.75
6,James Anglin,TX,4.2,4500,1071.43
3,George Foreman,ME,3.2,7000,2187.50
2,Milly Mutler,TN,33.2,3500,105.42
3,Frank Teward,RA,32.3,4500,139.32
3,James Anglin,TX,55.2,4500,81.52
1,George Foreman,ME,22.67,8200,361.71
1,Milly Mutler,TN,32.24,5600,173.70
3,Frank Teward,RA,12.4,5600,451.61
4,James Anglin,TX,23.2,4200,181.03
5,George Foreman,ME,11.6,3320,286.21
6,Milly Mutler,TN,22.67,3430,151.30
6,Frank Teward,RA,22.67,1000,44.11
4,Wendy Wallace,ES,44.2,4200,95.02
4,Frank Sinatra,TT,32,3320,103.75
3,Blake Leapold,DD,51.2,3430,66.99
2,Hank Hornsby,TU,32,1000,31.25
2,Wendy Wallace,ES,44.3,7722,174.31
5,Frank Sinatra,TT,44.2,4300,97.29
6,Blake Leapold,DD,23.5,7800,331.91
6,Hank Hornsby,TU,23.5,7722,328.60
4,Wendy Wallace,ES,4.2,4300,1023.81
1,Frank Sinatra,TT,32,7722,241.31
1,Blake Leapold,DD,51.2,4300,83.98
1,Hank Hornsby,TU,32,3453,107.91
2,July Jeaeps,RT,4.2,7722,1838.57
2,Fully Fraown,TR,32,4300,134.38
3,Rgyou Tylope,WE,51.2,7800,152.34
3,Tyler Perry,RE,32,7722,241.31
5,July Jeaeps,RT,4.2,4300,1023.81
6,Rgyou Tylope,WE,3.2,7800,2437.50
6,Tyler Perry,RE,33.2,4500,135.54
4,Guy Perice,SD,32.3,7000,216.72
4,Mary Madona,FR,55.2,3500,63.41
3,Doug Diggler,QW,22.67,4343,191.57
